Start experiments on cifar10 at level=7 with {'e_lr': 0.001, 'e_dis_lr': 2e-05, 'lambda1': 0.02, 'd_lr': 0.0005, 'd_dis_lr': 1e-08, 'lambda2': 2e-05}
[14899]: fg_loss: 0.0290, e_total_loss: 0.0482, e_dis_loss: 0.0000, d_total_loss: 0.0167, d_dis_loss: 0.0000, attack_loss: 0.0660
[14999]: fg_loss: 0.0285, e_total_loss: 0.0562, e_dis_loss: 0.0000, d_total_loss: 0.0170, d_dis_loss: 0.0000, attack_loss: 0.0668
[15099]: fg_loss: 0.0406, e_total_loss: 0.0703, e_dis_loss: 0.0000, d_total_loss: 0.0171, d_dis_loss: 0.0000, attack_loss: 0.0692
[15199]: fg_loss: 0.0392, e_total_loss: 0.0544, e_dis_loss: 0.0000, d_total_loss: 0.0172, d_dis_loss: 0.0000, attack_loss: 0.0658
[15299]: fg_loss: 0.0429, e_total_loss: 0.0533, e_dis_loss: 0.0000, d_total_loss: 0.0169, d_dis_loss: 0.0000, attack_loss: 0.0663
[15399]: fg_loss: 0.0309, e_total_loss: 0.0492, e_dis_loss: 0.0000, d_total_loss: 0.0170, d_dis_loss: 0.0000, attack_loss: 0.0666
[15499]: fg_loss: 0.0251, e_total_loss: 0.0443, e_dis_loss: 0.0000, d_total_loss: 0.0168, d_dis_loss: 0.0000, attack_loss: 0.0648
[15599]: fg_loss: 0.0241, e_total_loss: 0.0590, e_dis_loss: 0.0000, d_total_loss: 0.0167, d_dis_loss: 0.0000, attack_loss: 0.0642
[15699]: fg_loss: 0.0365, e_total_loss: 0.0632, e_dis_loss: 0.0000, d_total_loss: 0.0168, d_dis_loss: 0.0000, attack_loss: 0.0659
[15799]: fg_loss: 0.0319, e_total_loss: 0.0489, e_dis_loss: 0.0000, d_total_loss: 0.0170, d_dis_loss: 0.0000, attack_loss: 0.0686
[15899]: fg_loss: 0.0284, e_total_loss: 0.0407, e_dis_loss: 0.0000, d_total_loss: 0.0166, d_dis_loss: 0.0000, attack_loss: 0.0690
[15999]: fg_loss: 0.0288, e_total_loss: 0.0387, e_dis_loss: 0.0000, d_total_loss: 0.0167, d_dis_loss: 0.0000, attack_loss: 0.0704
[16099]: fg_loss: 0.0230, e_total_loss: 0.0365, e_dis_loss: 0.0000, d_total_loss: 0.0168, d_dis_loss: 0.0000, attack_loss: 0.0707
