Start experiments on cifar10 at level=7 with {'e_lr': 0.001, 'e_dis_lr': 2e-05, 'lambda1': 0.02, 'd_lr': 0.0005, 'd_dis_lr': 1e-08, 'lambda2': 2e-05}
[12299]: fg_loss: 0.0553, e_total_loss: 0.2828, e_dis_loss: 0.2349, d_total_loss: 0.0205, d_dis_loss: 0.0000, attack_loss: 0.0299
[12399]: fg_loss: 0.0435, e_total_loss: 0.2735, e_dis_loss: 0.2319, d_total_loss: 0.0206, d_dis_loss: 0.0000, attack_loss: 0.0284
[12499]: fg_loss: 0.0282, e_total_loss: 0.2536, e_dis_loss: 0.1952, d_total_loss: 0.0201, d_dis_loss: 0.0000, attack_loss: 0.0284
[12599]: fg_loss: 0.0249, e_total_loss: 0.2267, e_dis_loss: 0.2058, d_total_loss: 0.0205, d_dis_loss: 0.0000, attack_loss: 0.0270
[12699]: fg_loss: 0.0188, e_total_loss: 0.2403, e_dis_loss: 0.1784, d_total_loss: 0.0202, d_dis_loss: 0.0000, attack_loss: 0.0270
[12799]: fg_loss: 0.0212, e_total_loss: 0.2264, e_dis_loss: 0.2263, d_total_loss: 0.0202, d_dis_loss: 0.0000, attack_loss: 0.0268
[12899]: fg_loss: 0.0284, e_total_loss: 0.2579, e_dis_loss: 0.2204, d_total_loss: 0.0201, d_dis_loss: 0.0000, attack_loss: 0.0264
[12999]: fg_loss: 0.0353, e_total_loss: 0.2542, e_dis_loss: 0.1872, d_total_loss: 0.0206, d_dis_loss: 0.0000, attack_loss: 0.0268
[13099]: fg_loss: 0.0441, e_total_loss: 0.2801, e_dis_loss: 0.2127, d_total_loss: 0.0202, d_dis_loss: 0.0000, attack_loss: 0.0269
[13199]: fg_loss: 0.0455, e_total_loss: 0.2924, e_dis_loss: 0.1913, d_total_loss: 0.0203, d_dis_loss: 0.0000, attack_loss: 0.0293
[13299]: fg_loss: 0.0417, e_total_loss: 0.2639, e_dis_loss: 0.1822, d_total_loss: 0.0203, d_dis_loss: 0.0000, attack_loss: 0.0272
[13399]: fg_loss: 0.0407, e_total_loss: 0.2650, e_dis_loss: 0.2182, d_total_loss: 0.0199, d_dis_loss: 0.0000, attack_loss: 0.0268
[13499]: fg_loss: 0.0442, e_total_loss: 0.2529, e_dis_loss: 0.1751, d_total_loss: 0.0199, d_dis_loss: 0.0000, attack_loss: 0.0275
[13599]: fg_loss: 0.0348, e_total_loss: 0.2561, e_dis_loss: 0.1785, d_total_loss: 0.0196, d_dis_loss: 0.0000, attack_loss: 0.0271
[13699]: fg_loss: 0.0270, e_total_loss: 0.2408, e_dis_loss: 0.1819, d_total_loss: 0.0200, d_dis_loss: 0.0000, attack_loss: 0.0267
[13799]: fg_loss: 0.0280, e_total_loss: 0.2431, e_dis_loss: 0.2080, d_total_loss: 0.0196, d_dis_loss: 0.0000, attack_loss: 0.0283
[13899]: fg_loss: 0.0282, e_total_loss: 0.2451, e_dis_loss: 0.1903, d_total_loss: 0.0202, d_dis_loss: 0.0000, attack_loss: 0.0265
[13999]: fg_loss: 0.0294, e_total_loss: 0.2437, e_dis_loss: 0.1956, d_total_loss: 0.0200, d_dis_loss: 0.0000, attack_loss: 0.0264
[14099]: fg_loss: 0.0386, e_total_loss: 0.2633, e_dis_loss: 0.2426, d_total_loss: 0.0199, d_dis_loss: 0.0000, attack_loss: 0.0270
[14199]: fg_loss: 0.0413, e_total_loss: 0.2545, e_dis_loss: 0.1987, d_total_loss: 0.0202, d_dis_loss: 0.0000, attack_loss: 0.0269
[14299]: fg_loss: 0.0372, e_total_loss: 0.2590, e_dis_loss: 0.2013, d_total_loss: 0.0200, d_dis_loss: 0.0000, attack_loss: 0.0283
[14399]: fg_loss: 0.0269, e_total_loss: 0.2396, e_dis_loss: 0.2059, d_total_loss: 0.0199, d_dis_loss: 0.0000, attack_loss: 0.0269
[14499]: fg_loss: 0.0235, e_total_loss: 0.2309, e_dis_loss: 0.2102, d_total_loss: 0.0196, d_dis_loss: 0.0000, attack_loss: 0.0276
[14599]: fg_loss: 0.0220, e_total_loss: 0.2333, e_dis_loss: 0.2048, d_total_loss: 0.0197, d_dis_loss: 0.0000, attack_loss: 0.0273
[14699]: fg_loss: 0.0255, e_total_loss: 0.2275, e_dis_loss: 0.1743, d_total_loss: 0.0200, d_dis_loss: 0.0000, attack_loss: 0.0269
[14799]: fg_loss: 0.0265, e_total_loss: 0.2335, e_dis_loss: 0.2183, d_total_loss: 0.0197, d_dis_loss: 0.0000, attack_loss: 0.0282
[14899]: fg_loss: 0.0311, e_total_loss: 0.2464, e_dis_loss: 0.2267, d_total_loss: 0.0203, d_dis_loss: 0.0000, attack_loss: 0.0276
[14999]: fg_loss: 0.0356, e_total_loss: 0.2425, e_dis_loss: 0.2015, d_total_loss: 0.0196, d_dis_loss: 0.0000, attack_loss: 0.0271
[15099]: fg_loss: 0.0353, e_total_loss: 0.2628, e_dis_loss: 0.2036, d_total_loss: 0.0198, d_dis_loss: 0.0000, attack_loss: 0.0271
[15199]: fg_loss: 0.0295, e_total_loss: 0.2654, e_dis_loss: 0.1941, d_total_loss: 0.0203, d_dis_loss: 0.0000, attack_loss: 0.0271
[15299]: fg_loss: 0.0270, e_total_loss: 0.2500, e_dis_loss: 0.1768, d_total_loss: 0.0197, d_dis_loss: 0.0000, attack_loss: 0.0270
[15399]: fg_loss: 0.0255, e_total_loss: 0.2394, e_dis_loss: 0.1879, d_total_loss: 0.0200, d_dis_loss: 0.0000, attack_loss: 0.0267
[15499]: fg_loss: 0.0381, e_total_loss: 0.2505, e_dis_loss: 0.1944, d_total_loss: 0.0195, d_dis_loss: 0.0000, attack_loss: 0.0260
[15599]: fg_loss: 0.0337, e_total_loss: 0.2397, e_dis_loss: 0.2017, d_total_loss: 0.0200, d_dis_loss: 0.0000, attack_loss: 0.0260
[15699]: fg_loss: 0.0421, e_total_loss: 0.2546, e_dis_loss: 0.1613, d_total_loss: 0.0196, d_dis_loss: 0.0000, attack_loss: 0.0273
[15799]: fg_loss: 0.0252, e_total_loss: 0.2209, e_dis_loss: 0.1969, d_total_loss: 0.0198, d_dis_loss: 0.0000, attack_loss: 0.0254
[15899]: fg_loss: 0.0344, e_total_loss: 0.2400, e_dis_loss: 0.2038, d_total_loss: 0.0197, d_dis_loss: 0.0000, attack_loss: 0.0259
[15999]: fg_loss: 0.0276, e_total_loss: 0.2335, e_dis_loss: 0.1808, d_total_loss: 0.0196, d_dis_loss: 0.0000, attack_loss: 0.0265
[16099]: fg_loss: 0.0202, e_total_loss: 0.2131, e_dis_loss: 0.1833, d_total_loss: 0.0199, d_dis_loss: 0.0000, attack_loss: 0.0269
